CLASS13:paper+0.1756705127225491 larg+0.19867043631084283 than+0.20913884007029876 system+0.20997936883930618 present+0.2180790097042867 effect+0.24428822495606328 find+0.24872010391992053 provid+0.24917857415756095 high+0.27194926262703445 more+0.2769924352410789 base+0.27706884694735234 also+0.2793611981355544 has+0.2830289600366776 propos+0.284633605868419 both+0.29280965843967294 result+0.33430121494612974 method+0.3573775502406969 first+0.38121800259799804 data+0.3911515244135402 observ+0.4021548101169099 it+0.40735080614350117 one+0.4554137693894705 have+0.4748987544891877 between+0.49186215328188276 two+0.4943073278826316 model+0.4946893864139986 studi+0.5014136165660579 differ+0.5108886681439596 show+0.5172308397646519 our+0.5920379002063116 time+0.5930312523878658 can+0.7366088484755865
CLASS27:our+0.008928571428571428 between+0.026785714285714284 than+0.026785714285714284 result+0.026785714285714284 find+0.05357142857142857 time+0.0625 observ+0.07142857142857142 first+0.07142857142857142 data+0.08035714285714286 paper+0.09821428571428571 more+0.09821428571428571 model+0.125 have+0.125 it+0.13392857142857142 larg+0.15178571428571427 both+0.16071428571428573 differ+0.16071428571428573 present+0.21428571428571427 propos+0.21428571428571427 effect+0.25892857142857145 base+0.2767857142857143 method+0.2767857142857143 system+0.32142857142857145 also+0.38392857142857145 two+0.41964285714285715 show+0.44642857142857145 one+0.5267857142857143 studi+0.5357142857142857 high+0.7053571428571429 has+0.7678571428571429 can+0.7946428571428571 provid+0.7946428571428571
CLASS28:propos+0.0457516339869281 method+0.05555555555555555 paper+0.058823529411764705 it+0.0718954248366013 first+0.0915032679738562 show+0.09803921568627451 one+0.09803921568627451 our+0.09803921568627451 result+0.10784313725490197 system+0.1111111111111111 base+0.11437908496732026 provid+0.12091503267973856 two+0.12745098039215685 can+0.14052287581699346 effect+0.1437908496732026 has+0.1503267973856209 studi+0.1568627450980392 more+0.16993464052287582 model+0.17973856209150327 both+0.20915032679738563 larg+0.25163398692810457 present+0.2647058823529412 data+0.434640522875817 time+0.5261437908496732 than+0.545751633986928 differ+0.5882352941176471 between+0.5915032679738562 high+0.6470588235294118 have+0.6503267973856209 observ+0.7156862745098039 also+0.7581699346405228 find+0.7745098039215687
CLASS29:base+0.04128440366972477 propos+0.06880733944954129 time+0.07339449541284404 one+0.08027522935779817 two+0.0871559633027523 first+0.08944954128440367 paper+0.09403669724770643 present+0.0963302752293578 method+0.11926605504587157 system+0.12614678899082568 between+0.14220183486238533 it+0.1444954128440367 differ+0.15825688073394495 show+0.1651376146788991 has+0.16743119266055045 provid+0.18577981651376146 studi+0.19036697247706422 both+0.19495412844036697 also+0.20642201834862386 high+0.25 data+0.31880733944954126 model+0.3302752293577982 find+0.4426605504587156 more+0.48623853211009177 effect+0.5986238532110092 have+0.6192660550458715 than+0.6330275229357798 can+0.6903669724770642 our+0.6903669724770642 larg+0.7064220183486238 result+0.713302752293578 observ+0.7454128440366973
CLASS3:time+0.009216589861751152 method+0.016129032258064516 can+0.02304147465437788 propos+0.02534562211981567 first+0.04608294930875576 one+0.06221198156682028 paper+0.06451612903225806 it+0.07142857142857142 base+0.0967741935483871 system+0.1175115207373272 provid+0.15898617511520738 effect+0.17050691244239632 high+0.19815668202764977 larg+0.21889400921658986 present+0.23271889400921658 than+0.2465437788018433 has+0.25806451612903225 result+0.26036866359447003 both+0.2880184331797235 more+0.35714285714285715 model+0.37327188940092165 data+0.45622119815668205 find+0.46543778801843316 two+0.5069124423963134 also+0.5184331797235023 show+0.5898617511520737 differ+0.6129032258064516 between+0.6428571428571429 observ+0.6728110599078341 have+0.684331797235023 our+0.7004608294930875 studi+0.7073732718894009
CLASS30:method+0.09558638083228248 our+0.1271122320302648 data+0.13266078184110972 present+0.13694829760403532 observ+0.15687263556116016 find+0.15863808322824716 high+0.1755359394703657 between+0.19470365699873896 provid+0.221437578814628 it+0.22723833543505675 time+0.23278688524590163 more+0.24968474148802017 has+0.2544766708701135 both+0.25598991172761665 base+0.26078184110971 effect+0.28474148802017657 result+0.29558638083228245 first+0.3503152585119798 than+0.3505674653215637 propos+0.37276166456494325 differ+0.43858764186633037 studi+0.4398486759142497 larg+0.4461538461538462 also+0.45699873896595206 paper+0.45952080706179066 one+0.49281210592686003 system+0.5205548549810844 two+0.5288776796973518 have+0.5815889029003783 show+0.5896595208070617 model+0.7066834804539722 can+0.7417402269861286
CLASS31:find+0.01834862385321101 observ+0.027522935779816515 first+0.027522935779816515 between+0.027522935779816515 present+0.03669724770642202 have+0.045871559633027525 time+0.06422018348623854 two+0.07339449541284404 data+0.08256880733944955 studi+0.08256880733944955 one+0.09174311926605505 high+0.09174311926605505 show+0.11926605504587157 provid+0.1559633027522936 it+0.1651376146788991 has+0.1651376146788991 differ+0.1743119266055046 larg+0.1743119266055046 system+0.1743119266055046 both+0.22018348623853212 effect+0.22018348623853212 model+0.29357798165137616 paper+0.30275229357798167 method+0.3853211009174312 than+0.5045871559633027 propos+0.5504587155963303 our+0.5504587155963303 result+0.6146788990825688 more+0.6788990825688074 base+0.6972477064220184 can+0.8899082568807339 also+0.8990825688073395
CLASS4:paper+0.08395429706905116 show+0.11326378539493294 propos+0.12767014406358668 differ+0.13462493790362642 system+0.13611525086934922 one+0.13760556383507203 it+0.16045702930948832 result+0.16989567809239942 first+0.17834078489816194 between+0.17983109786388474 can+0.19672131147540983 two+0.2260307998012916 base+0.2399403874813711 provid+0.2488822652757079 also+0.26179831097863887 method+0.2687531048186786 has+0.2707401887729757 our+0.2796820665673125 find+0.35270740188772975 than+0.35469448584202684 more+0.40288127173373073 effect+0.4326875310481868 data+0.4659711872826627 both+0.4734227521112767 studi+0.4913065076999503 time+0.4932935916542474 larg+0.5146547441629409 have+0.5797317436661699 high+0.5961251862891207 present+0.6005961251862891 observ+0.6557377049180327 model+0.7873820168902136
CLASS5:find+0.04487179487179487 between+0.07179487179487179 observ+0.07948717948717948 than+0.08846153846153847 larg+0.12564102564102564 time+0.14358974358974358 has+0.14487179487179488 studi+0.14743589743589744 can+0.16025641025641027 high+0.191025641025641 have+0.19230769230769232 data+0.21794871794871795 it+0.22435897435897437 differ+0.2423076923076923 present+0.27564102564102566 system+0.2782051282051282 also+0.28205128205128205 model+0.308974358974359 more+0.31153846153846154 paper+0.33205128205128204 one+0.4653846153846154 provid+0.4897435897435897 first+0.4987179487179487 effect+0.5243589743589744 show+0.5256410256410257 our+0.532051282051282 method+0.5525641025641026 both+0.6282051282051282 propos+0.6346153846153846 two+0.6884615384615385 result+0.7128205128205128 base+0.7602564102564102
CLASS6:more+0.02766798418972332 than+0.043478260869565216 find+0.043478260869565216 effect+0.07114624505928854 two+0.07905138339920949 first+0.08695652173913043 observ+0.09090909090909091 between+0.09090909090909091 larg+0.11067193675889328 high+0.12648221343873517 data+0.13043478260869565 present+0.1383399209486166 time+0.1422924901185771 studi+0.1422924901185771 can+0.1541501976284585 system+0.17391304347826086 has+0.17391304347826086 one+0.17391304347826086 method+0.2134387351778656 provid+0.21739130434782608 differ+0.23715415019762845 propos+0.32806324110671936 also+0.383399209486166 it+0.5177865612648221 base+0.5889328063241107 our+0.5928853754940712 paper+0.616600790513834 both+0.6640316205533597 have+0.6758893280632411 result+0.691699604743083 show+0.7233201581027668 model+0.7430830039525692
CLASS7:our+0.04608294930875576 find+0.055299539170506916 than+0.06682027649769585 high+0.07142857142857142 larg+0.08294930875576037 data+0.10138248847926268 observ+0.10368663594470046 more+0.10368663594470046 have+0.1152073732718894 show+0.14746543778801843 between+0.1497695852534562 has+0.1497695852534562 studi+0.15668202764976957 effect+0.15898617511520738 differ+0.1728110599078341 method+0.1889400921658986 first+0.21428571428571427 base+0.21428571428571427 model+0.22811059907834103 system+0.23271889400921658 it+0.2511520737327189 provid+0.2534562211981567 both+0.2764976958525346 propos+0.3847926267281106 paper+0.5737327188940092 one+0.6036866359447005 time+0.6175115207373272 can+0.6658986175115207 result+0.6797235023041475 present+0.7235023041474654 two+0.728110599078341 also+0.8271889400921659
CLASS8:first+0.0758266818700114 paper+0.09464082098061574 time+0.09635119726339794 propos+0.10604332953249715 one+0.11630558722919042 method+0.11744583808437856 more+0.12314709236031927 system+0.13397947548460662 have+0.153363740022805 two+0.15792474344355759 present+0.1619156214367161 than+0.1733181299885975 has+0.18529076396807298 studi+0.19783352337514254 data+0.20752565564424175 both+0.21550741163055873 differ+0.2160775370581528 our+0.22576966932725198 it+0.22805017103762829 provid+0.2451539338654504 find+0.3249714937286203 base+0.35917901938426455 larg+0.4823261117445838 high+0.49714937286202965 result+0.5102622576966933 between+0.5307867730900798 effect+0.5342075256556442 show+0.6106043329532497 observ+0.6510832383124288 can+0.7599771949828963 also+0.7679589509692132 model+0.7907639680729761
CLASS9:method+0.039647577092511016 studi+0.048458149779735685 have+0.06167400881057269 show+0.06607929515418502 between+0.08370044052863436 result+0.08370044052863436 propos+0.0881057268722467 larg+0.09691629955947137 system+0.09691629955947137 first+0.10572687224669604 our+0.1145374449339207 one+0.11894273127753303 has+0.13656387665198239 two+0.15859030837004406 base+0.16740088105726872 both+0.1762114537444934 can+0.20704845814977973 also+0.2290748898678414 more+0.2290748898678414 present+0.2511013215859031 find+0.27312775330396477 paper+0.31718061674008813 effect+0.3700440528634361 time+0.43171806167400884 it+0.4669603524229075 data+0.4845814977973568 differ+0.4933920704845815 high+0.5066079295154186 than+0.5682819383259912 observ+0.6696035242290749 provid+0.7400881057268722 model+0.8281938325991189
CLASS11:between+0.1109657157812091 two+0.12562156503533106 system+0.14289453022768908 both+0.1803192881444648 find+0.18241298089505364 differ+0.1837215388641717 one+0.18476838523946612 time+0.1926197330541743 observ+0.2085841402774143 it+0.21146296780947396 effect+0.2161737764982989 larg+0.22716566343889033 has+0.26118817063595917 provid+0.2750588851086103 method+0.2753205967024339 propos+0.2829102329233185 have+0.31850300968332895 also+0.3203349908400942 model+0.36299398063334204 first+0.41795341533629937 than+0.44464799790630727 more+0.45014394137660296 data+0.4726511384454331 paper+0.5223763412719183 high+0.5516880397801622 present+0.5679141585972258 studi+0.5694844281601675 base+0.6121434179534153 show+0.6173776498298874 our+0.6380528657419524 can+0.6532321381837215 result+0.7309604815493327
CLASS12:more+0.09745982374287196 propos+0.13452566096423016 than+0.1368584758942457 data+0.1428201140487299 between+0.16874027993779162 larg+0.17133229652669776 it+0.17418351477449456 first+0.18843960601347848 paper+0.1915500259201659 both+0.2089165370658372 differ+0.20943494038361846 present+0.2148781752203214 show+0.22783825816485226 two+0.2454639709694142 can+0.24675997926386728 find+0.25427682737169516 high+0.25686884396060133 has+0.2669777086573354 model+0.3221876620010368 method+0.3263348885432867 effect+0.42923794712286156 observ+0.447900466562986 system+0.45023328149300157 base+0.4582685329186107 provid+0.4629341627786418 one+0.47433903576982894 time+0.5580611715914982 have+0.5767236910316226 our+0.5979782270606532 studi+0.656298600311042 result+0.7032141005702437 also+0.7037325038880249
CLASS0:than+0.09078054298642534 more+0.12358597285067874 first+0.1521493212669683 one+0.1521493212669683 show+0.19824660633484162 time+0.20079185520361992 it+0.2044683257918552 two+0.20786199095022626 between+0.2171945701357466 studi+0.22426470588235295 larg+0.23699095022624433 method+0.2415158371040724 observ+0.24179864253393665 high+0.24660633484162897 differ+0.24688914027149322 paper+0.2644230769230769 both+0.2664027149321267 propos+0.2802601809954751 data+0.2856334841628959 effect+0.28789592760180993 provid+0.31759049773755654 also+0.36764705882352944 find+0.4177036199095023 base+0.5463800904977375 has+0.5503393665158371 system+0.565893665158371 present+0.5817307692307693 result+0.647341628959276 our+0.6510180995475113 have+0.6611990950226244 can+0.7601809954751131 model+0.7706447963800905
CLASS1:result+0.06635622817229336 studi+0.12922002328288706 between+0.13038416763678695 show+0.1350407450523865 have+0.16763678696158324 differ+0.17229336437718276 effect+0.17578579743888242 method+0.17927823050058206 one+0.1839348079161816 propos+0.18742724097788127 data+0.1920838183934808 find+0.1979045401629802 larg+0.21071012805587894 has+0.21303841676367868 more+0.21769499417927823 paper+0.2270081490104773 observ+0.22933643771827705 two+0.2339930151338766 it+0.23632130384167638 both+0.24563445867287545 model+0.27357392316647267 provid+0.32479627473806755 than+0.4563445867287544 first+0.470314318975553 our+0.5529685681024447 high+0.5785797438882422 present+0.6216530849825378 base+0.6379511059371362 system+0.6693830034924331 time+0.670547147846333 can+0.69965075669383 also+0.7694994179278231
CLASS10:studi+0.13003958363876264 it+0.1570151004251576 observ+0.1677173434980208 high+0.17475443483360212 present+0.19205395103357278 effect+0.19220055710306408 time+0.20568831549626154 differ+0.22518692273860139 data+0.23926110540976397 larg+0.24146019645213312 have+0.24439231784195867 both+0.25142940917754 system+0.28705468406392026 also+0.2905732297317109 base+0.3338220202316376 find+0.37208620436886086 model+0.38865269022137516 than+0.39891511508576455 first+0.4011142061281337 method+0.4072716610467673 propos+0.41401554024336606 more+0.417680691980648 between+0.4789620290280018 one+0.4868787567805307 paper+0.4883448174754435 provid+0.49171675707374285 has+0.5015393637296585 two+0.5679519132092069 show+0.5688315496261546 our+0.6434540389972145 result+0.7040023456971118 can+0.7324439231784196
CLASS14:method+0.012738853503184714 propos+0.03184713375796178 data+0.03821656050955414 paper+0.044585987261146494 result+0.05732484076433121 base+0.07006369426751592 time+0.07643312101910828 differ+0.09554140127388536 one+0.09554140127388536 our+0.10191082802547771 first+0.1337579617834395 show+0.14012738853503184 effect+0.1910828025477707 both+0.20382165605095542 high+0.21019108280254778 can+0.21656050955414013 present+0.2229299363057325 model+0.2356687898089172 two+0.24203821656050956 between+0.2611464968152866 more+0.2929936305732484 has+0.29936305732484075 larg+0.33121019108280253 than+0.43312101910828027 provid+0.5222929936305732 it+0.5923566878980892 have+0.6114649681528662 find+0.6305732484076433 system+0.643312101910828 observ+0.6496815286624203 studi+0.7006369426751592 also+0.7515923566878981
CLASS15:method+0.06962025316455696 base+0.08860759493670886 data+0.08931082981715893 can+0.1111111111111111 propos+0.11181434599156118 provid+0.1209563994374121 time+0.1469760900140647 effect+0.1490857946554149 show+0.15471167369901548 system+0.180028129395218 find+0.18354430379746836 observ+0.19971870604781997 high+0.21378340365682139 model+0.22573839662447256 larg+0.2271448663853727 differ+0.22925457102672292 studi+0.2320675105485232 both+0.2848101265822785 present+0.2918424753867792 than+0.4029535864978903 first+0.41279887482419125 paper+0.42545710267229253 between+0.43670886075949367 more+0.4444444444444444 our+0.4472573839662447 it+0.49156118143459915 one+0.5007032348804501 result+0.6054852320675106 has+0.609704641350211 two+0.6209563994374121 have+0.6483825597749648 also+0.7974683544303798
CLASS16:two+0.10844577711144428 one+0.1344327836081959 can+0.14617691154422788 system+0.17091454272863568 first+0.1736631684157921 effect+0.18365817091454273 have+0.196151924037981 differ+0.21064467766116943 studi+0.2288855572213893 paper+0.2311344327836082 observ+0.2331334332833583 both+0.24587706146926536 present+0.2571214392803598 high+0.2621189405297351 larg+0.26761619190404795 propos+0.32533733133433285 base+0.3353323338330835 method+0.3580709645177411 find+0.3938030984507746 between+0.40679660169915044 model+0.40879560219890054 more+0.41579210394802596 it+0.4340329835082459 than+0.4352823588205897 provid+0.4505247376311844 data+0.46326836581709147 has+0.5149925037481259 time+0.5772113943028486 show+0.5942028985507246 our+0.6174412793603199 result+0.658920539730135 also+0.7146426786606697
CLASS17:studi+0.1026694045174538 find+0.1055441478439425 than+0.11047227926078029 observ+0.1273100616016427 more+0.14455852156057494 show+0.1457905544147844 one+0.16057494866529773 it+0.16427104722792607 have+0.2032854209445585 first+0.20698151950718685 present+0.2135523613963039 also+0.22094455852156059 has+0.22874743326488706 our+0.23408624229979466 two+0.2587268993839836 can+0.28788501026694047 provid+0.28829568788501025 both+0.29322381930184804 larg+0.4160164271047228 effect+0.4164271047227926 between+0.45338809034907596 paper+0.4702258726899384 differ+0.4792607802874743 time+0.5121149897330596 system+0.5170431211498974 high+0.5277207392197125 method+0.5433264887063655 data+0.5552361396303901 propos+0.6012320328542095 result+0.6193018480492813 base+0.6973305954825462 model+0.7453798767967146
