CLASS0:than+0.0064516129032258064 observ+0.012903225806451613 larg+0.012903225806451613 studi+0.012903225806451613 between+0.012903225806451613 present+0.01935483870967742 have+0.03225806451612903 two+0.03225806451612903 more+0.03225806451612903 time+0.03870967741935484 result+0.04516129032258064 model+0.05161290322580645 can+0.05806451612903226 high+0.17419354838709677 find+0.1935483870967742 data+0.24516129032258063 effect+0.2645161290322581 method+0.2645161290322581 one+0.2903225806451613 first+0.3032258064516129 propos+0.3161290322580645 has+0.3548387096774194 it+0.3741935483870968 provid+0.3870967741935484 paper+0.3935483870967742 show+0.4064516129032258 our+0.44516129032258067 base+0.5161290322580645 also+0.535483870967742
CLASS1:it+0.037694013303769404 larg+0.05160249949606934 present+0.055230800241886716 system+0.05543237250554324 studi+0.10219713767385608 our+0.15863737149768192 model+0.1872606329369079 effect+0.2938923604112074 both+0.2997379560572465 observ+0.30094738963918566 first+0.30215682322112475 data+0.3043741181213465 find+0.31364644224954646 method+0.32715178391453337 provid+0.3340052408788551 more+0.3356178189881072 high+0.34428542632533765 paper+0.3452932876436202 propos+0.3499294497077202 one+0.3507357387623463 than+0.36000806289054627 has+0.3652489417456158 differ+0.36968353154605926 between+0.4097964120137069 two+0.42572062084257206 time+0.4418464019350937 have+0.45031243700866763 base+0.4799435597661762 show+0.49223946784922396 also+0.5071558153598065 result+0.5728683733118323 can+0.6543035678290667
CLASS2:observ+0.01037344398340249 larg+0.01037344398340249 find+0.01867219917012448 than+0.022821576763485476 data+0.022821576763485476 studi+0.035269709543568464 effect+0.035269709543568464 one+0.03734439834024896 provid+0.05186721991701245 method+0.05394190871369295 has+0.056016597510373446 time+0.06846473029045644 model+0.10995850622406639 can+0.17427385892116182 more+0.2676348547717842 high+0.2863070539419087 both+0.3153526970954357 differ+0.36099585062240663 first+0.3651452282157676 system+0.3651452282157676 it+0.3651452282157676 present+0.3796680497925311 propos+0.3796680497925311 between+0.4170124481327801 two+0.42531120331950206 have+0.43775933609958506 paper+0.43983402489626555 show+0.45435684647302904 also+0.5269709543568465 base+0.5352697095435685 our+0.5518672199170125 result+0.6265560165975104
CLASS20:first+0.04353083434099154 show+0.044740024183796856 system+0.0471584038694075 more+0.04836759371221282 than+0.07134220072551391 result+0.10882708585247884 our+0.1354292623941959 model+0.15840386940749698 can+0.23337363966142685 propos+0.28174123337363965 method+0.31680773881499397 paper+0.3264812575574365 provid+0.33615477629987905 both+0.34099153567110035 effect+0.3615477629987908 it+0.3639661426844015 one+0.3808948004836759 data+0.3978234582829504 differ+0.40991535671100365 observ+0.4207980652962515 has+0.42563482466747277 high+0.44014510278113667 larg+0.44619105199516323 find+0.4607013301088271 two+0.46795646916565903 present+0.47762998790810157 time+0.5054413542926239 base+0.5344619105199516 between+0.5574365175332527 studi+0.5840386940749698 also+0.6058041112454655 have+0.6384522370012092
CLASS21:observ+0.061458931648477884 high+0.0752441125789776 between+0.0861573808156232 find+0.08673176335439403 larg+0.09994256174612291 two+0.10051694428489374 system+0.11257897759908099 has+0.11889718552556003 paper+0.12751292360712235 studi+0.1344055140723722 also+0.1688684663986215 both+0.31074095347501435 effect+0.3147616312464101 it+0.32912119471568063 one+0.33026995979322227 than+0.34865020103388855 more+0.35324526134405515 differ+0.36186099942561745 provid+0.36186099942561745 first+0.36473291211947156 data+0.38770821367030445 present+0.42561746122917865 method+0.4876507754164273 propos+0.49684089603676046 show+0.5094773118897186 time+0.5502584721424468 have+0.5933371625502585 result+0.604824813325675 base+0.6547960941987364 our+0.6576680068925904 model+0.72027570361861 can+0.7834577828834004
CLASS22:effect+0.03427172582619339 larg+0.04528763769889841 show+0.05018359853121175 it+0.06487148102815178 has+0.08445532435740515 find+0.08567931456548347 high+0.09057527539779682 system+0.09424724602203183 between+0.10893512851897184 also+0.12239902080783353 can+0.22643818849449204 than+0.3390452876376989 observ+0.3488372093023256 first+0.3623011015911873 more+0.3684210526315789 differ+0.37576499388004897 one+0.3818849449204406 provid+0.386780905752754 data+0.40269277845777235 both+0.4222766217870257 present+0.4430844553243574 method+0.4528763769889841 propos+0.4614443084455324 time+0.5006119951040392 paper+0.5250917992656059 have+0.5336597307221542 two+0.565483476132191 our+0.5716034271725826 studi+0.5997552019583844 result+0.6597307221542228 model+0.6646266829865362 base+0.6793145654834761
CLASS23:data+0.03433001107419712 provid+0.03875968992248062 find+0.042081949058693245 effect+0.05094130675526024 high+0.05426356589147287 it+0.05647840531561462 between+0.06533776301218161 present+0.0753045404208195 result+0.1450719822812846 our+0.1583610188261351 model+0.23034330011074197 method+0.2857142857142857 observ+0.30564784053156147 both+0.31118493909191586 first+0.32447397563676633 differ+0.35658914728682173 propos+0.36323366555924697 more+0.36655592469545956 than+0.37320044296788485 paper+0.3743078626799557 larg+0.40310077519379844 one+0.41971207087486156 has+0.4363233665559247 two+0.4629014396456257 system+0.49058693244739754 time+0.5193798449612403 show+0.5282392026578073 also+0.5559246954595792 studi+0.5714285714285714 have+0.5991140642303433 base+0.6212624584717608 can+0.7829457364341085
CLASS24:observ+0.03686882180069463 find+0.056371894202511354 between+0.06224953246059311 present+0.07507347047822602 larg+0.08041677798557308 base+0.14827678332888058 model+0.23216671119422924 data+0.27491317125300563 effect+0.29414907827945497 than+0.31338498530590436 high+0.31899545818861874 both+0.3192626235639861 more+0.3360940422121293 differ+0.35933742986908895 method+0.3620090836227625 provid+0.36387924125033394 first+0.373764360138926 system+0.3780390061448036 propos+0.3780390061448036 it+0.39540475554368154 one+0.41544215869623297 two+0.4432273577344376 paper+0.4616617686347849 has+0.4635319262623564 time+0.5046753940689287 have+0.5247127972214801 also+0.5730697301629709 show+0.5976489446967673 studi+0.6230296553566658 our+0.6812717071867486 result+0.7031792679668715 can+0.7178733636120759
CLASS25:it+0.05004648280136349 both+0.0509761388286334 find+0.0695692593740316 base+0.1715215370312984 can+0.24511930585683298 propos+0.3029129222187791 first+0.31778741865509763 provid+0.32894329098233654 more+0.3351409978308026 method+0.3370003098853424 effect+0.3383947939262473 than+0.344747443445925 system+0.34583204214440655 paper+0.36070653858072516 one+0.36550976138828634 data+0.3841028819336845 differ+0.39401921289123026 observ+0.3944840409048652 high+0.3975828943290982 has+0.39804772234273317 two+0.41168267740935854 between+0.4384877595289743 larg+0.44019212891230247 present+0.4513480012395414 show+0.4642082429501085 also+0.4914781530833592 time+0.507127362875736 studi+0.510226216299969 have+0.5333126743105051 our+0.5856832971800434 result+0.6420824295010846 model+0.6981716764797025
CLASS26:one+0.03630952380952381 effect+0.047619047619047616 provid+0.05238095238095238 high+0.0744047619047619 base+0.1630952380952381 can+0.19226190476190477 model+0.2119047619047619 propos+0.24285714285714285 method+0.305952380952381 first+0.31547619047619047 system+0.34285714285714286 more+0.35059523809523807 data+0.35773809523809524 paper+0.36547619047619045 has+0.4023809523809524 both+0.40476190476190477 it+0.4095238095238095 differ+0.41309523809523807 than+0.43214285714285716 two+0.43273809523809526 observ+0.4607142857142857 larg+0.46785714285714286 present+0.4726190476190476 show+0.5029761904761905 between+0.5363095238095238 find+0.5392857142857143 time+0.5529761904761905 also+0.5648809523809524 have+0.5803571428571429 studi+0.6029761904761904 result+0.6601190476190476 our+0.6880952380952381
CLASS27:observ+0.05161290322580645 first+0.05219941348973607 two+0.06744868035190615 than+0.08621700879765395 paper+0.093841642228739 also+0.12609970674486803 our+0.17771260997067448 one+0.3096774193548387 both+0.32023460410557186 more+0.3214076246334311 can+0.3313782991202346 present+0.3495601173020528 find+0.3548387096774194 it+0.3548387096774194 provid+0.3712609970674487 propos+0.3994134897360704 larg+0.40117302052785925 data+0.4046920821114369 has+0.41524926686217006 method+0.43049853372434016 system+0.43870967741935485 effect+0.4434017595307918 differ+0.45102639296187685 high+0.4533724340175953 show+0.49325513196480936 between+0.5002932551319648 time+0.5120234604105571 have+0.5507331378299121 studi+0.5747800586510264 base+0.6375366568914956 result+0.6598240469208211 model+0.7161290322580646
CLASS28:first+0.03231292517006803 high+0.04421768707482993 two+0.05442176870748299 observ+0.05952380952380952 has+0.06292517006802721 than+0.06462585034013606 differ+0.06972789115646258 studi+0.07142857142857142 larg+0.08503401360544217 present+0.10204081632653061 have+0.10204081632653061 our+0.14795918367346939 base+0.17517006802721088 more+0.26360544217687076 both+0.2857142857142857 one+0.29931972789115646 provid+0.30612244897959184 method+0.3129251700680272 data+0.3282312925170068 find+0.3282312925170068 it+0.33503401360544216 effect+0.34523809523809523 propos+0.3673469387755102 paper+0.4030612244897959 between+0.41496598639455784 system+0.44047619047619047 show+0.48299319727891155 also+0.5697278911564626 result+0.6071428571428571 time+0.6292517006802721 model+0.8112244897959183 can+0.8129251700680272
CLASS29:more+0.032 than+0.032 differ+0.04 studi+0.04 paper+0.048 show+0.056 time+0.056 it+0.056 result+0.064 two+0.072 also+0.104 our+0.168 both+0.28 has+0.288 method+0.32 can+0.328 propos+0.336 effect+0.376 system+0.392 provid+0.408 larg+0.424 observ+0.44 present+0.464 first+0.472 find+0.496 base+0.528 high+0.528 between+0.536 data+0.6 have+0.656 model+0.808
CLASS3:differ+0.028706717963894644 present+0.043799940810890794 result+0.04912696063924238 studi+0.06007694584196508 base+0.07605800532701983 model+0.1935483870967742 method+0.2521456052086416 paper+0.2684226102397159 propos+0.274045575614087 first+0.2846996152707902 both+0.28529150636282924 data+0.29091447173720036 more+0.3125184965966262 effect+0.3157738976028411 provid+0.3222846996152708 than+0.3495116898490678 one+0.3572062740455756 find+0.3589819473216928 observ+0.36993193252441553 it+0.37377922462266944 between+0.37377922462266944 two+0.374667061260728 high+0.39331163065995856 has+0.39863865048831015 system+0.40218999704054453 show+0.42438591299200945 also+0.46907369044095887 larg+0.47084936371707603 time+0.4755844924533886 have+0.493045279668541 our+0.5498668245042913 can+0.6161586268126664
CLASS30:more+0.049368968077208614 data+0.05085374907201188 our+0.11989606533036377 have+0.13325909428359317 time+0.13771343726800298 result+0.15998515219005197 than+0.25872308834446917 first+0.30734966592427615 both+0.307720861172977 find+0.31811432813659984 provid+0.34521158129175944 observ+0.3526354862657758 one+0.3574610244988864 high+0.36525612472160357 method+0.3726800296956199 it+0.37564959168522644 system+0.3878990348923534 effect+0.38938381588715665 propos+0.4053452115812918 differ+0.41165553080920564 between+0.4179658500371195 show+0.42761692650334077 paper+0.43318485523385303 present+0.4354120267260579 larg+0.4394951744617669 has+0.4491462509279881 two+0.4688195991091314 studi+0.5011135857461024 also+0.5044543429844098 base+0.5089086859688196 model+0.7019302152932443 can+0.7438752783964365
CLASS31:observ+0.04895960832313342 it+0.051407588739290085 high+0.05263157894736842 provid+0.0795593635250918 two+0.08445532435740515 base+0.10771113831089352 result+0.19951040391676866 our+0.200734394124847 model+0.25091799265605874 propos+0.25091799265605874 method+0.2741738066095471 first+0.2802937576499388 both+0.2864137086903305 data+0.3525091799265606 paper+0.3659730722154223 one+0.3659730722154223 larg+0.386780905752754 than+0.3990208078335373 more+0.40024479804161567 has+0.40269277845777235 system+0.412484700122399 effect+0.4259485924112607 present+0.44430844553243576 differ+0.46878824969400246 find+0.4847001223990208 time+0.4944920440636475 show+0.5165238678090576 between+0.5263157894736842 have+0.6217870257037944 also+0.631578947368421 studi+0.6450428396572827 can+0.8800489596083231
CLASS4:more+0.03126268777913114 than+0.04303694681282988 effect+0.05075111652456354 observ+0.06211936662606577 paper+0.07145757206658547 between+0.07714169711733658 have+0.11652456354039789 result+0.17742590336987413 can+0.2298010556232237 propos+0.3317092976045473 larg+0.33414535119772637 find+0.33617539585870887 first+0.3386114494518879 both+0.34267153877385303 differ+0.34794965489240764 one+0.35363377994315875 provid+0.35403978887535525 method+0.3564758424685343 it+0.391392610637434 data+0.3934226552984166 high+0.40194884287454324 has+0.40276086073893624 present+0.4047909053999188 system+0.41250507511165246 show+0.41372310190824196 two+0.4291514413317093 studi+0.4531059683313033 also+0.5339017458384084 base+0.5379618351603735 time+0.5440519691433211 our+0.5809987819732034 model+0.631749898497767
CLASS5:propos+0.027338129496402876 system+0.03381294964028777 paper+0.03525179856115108 method+0.058992805755395686 it+0.0683453237410072 has+0.07194244604316546 also+0.07410071942446043 between+0.07553956834532374 result+0.13956834532374102 have+0.15251798561151078 can+0.20287769784172663 provid+0.29856115107913667 first+0.29856115107913667 one+0.3064748201438849 differ+0.3237410071942446 more+0.34676258992805753 both+0.35179856115107916 data+0.3640287769784173 effect+0.3834532374100719 two+0.3964028776978417 show+0.4158273381294964 base+0.42302158273381296 present+0.43884892086330934 than+0.45179856115107914 high+0.4568345323741007 larg+0.4589928057553957 studi+0.479136690647482 find+0.5230215827338129 our+0.5402877697841727 observ+0.556115107913669 time+0.6474820143884892 model+0.6539568345323741
CLASS6:paper+0.011695906432748537 method+0.011695906432748537 system+0.017543859649122806 show+0.023391812865497075 high+0.023391812865497075 it+0.03508771929824561 differ+0.04678362573099415 data+0.05263157894736842 also+0.05847953216374269 have+0.0935672514619883 can+0.11695906432748537 our+0.1286549707602339 time+0.1286549707602339 propos+0.28654970760233917 more+0.3157894736842105 than+0.3508771929824561 one+0.36257309941520466 has+0.36257309941520466 both+0.3684210526315789 first+0.3684210526315789 observ+0.39766081871345027 find+0.40350877192982454 base+0.4093567251461988 effect+0.4327485380116959 two+0.4853801169590643 larg+0.49707602339181284 studi+0.5380116959064327 between+0.5614035087719298 result+0.6432748538011696 model+0.7076023391812866
CLASS7:than+0.03491196114146934 more+0.060412871888281726 effect+0.0649666059502125 find+0.08469945355191257 differ+0.08773527625986642 present+0.09259259259259259 high+0.09502125075895568 time+0.129933211900425 studi+0.13752276867030966 also+0.16150576806314512 observ+0.2747419550698239 both+0.331511839708561 first+0.34972677595628415 it+0.35458409228901033 one+0.3600485731633273 larg+0.37037037037037035 method+0.3843351548269581 data+0.3879781420765027 between+0.403157255616272 provid+0.4034608378870674 paper+0.4074074074074074 system+0.4137826350941105 two+0.4474802671523983 propos+0.4599271402550091 has+0.4693381906496661 show+0.47996357012750457 have+0.49453551912568305 base+0.5698239222829387 our+0.6481481481481481 result+0.6584699453551912 model+0.6782027929568913 can+0.7185792349726776
CLASS8:first+0.03513996426444312 provid+0.048243001786777845 system+0.06432400238237046 has+0.08457415128052412 present+0.09648600357355569 find+0.09767718880285885 studi+0.09946396664681358 also+0.10541989279332936 time+0.13281715306730196 have+0.15902322811197142 propos+0.1620011911852293 it+0.3013698630136986 one+0.31804645622394284 paper+0.33650982727814177 both+0.3490172721858249 than+0.3680762358546754 data+0.3710541989279333 effect+0.3853484216795712 more+0.3853484216795712 observ+0.395473496128648 high+0.41334127456819536 method+0.4151280524121501 two+0.42227516378796903 between+0.4246575342465753 differ+0.4478856462179869 larg+0.4723049434187016 base+0.51697438951757 show+0.5348421679571174 our+0.5949970220369267 result+0.6658725431804645 model+0.7236450268016676 can+0.7379392495533056
CLASS9:data+0.03659233847913093 method+0.04516866781017725 high+0.058319039451114926 have+0.07947398513436249 differ+0.08976558033161806 base+0.11149228130360206 studi+0.12292738707833048 also+0.137221269296741 model+0.1783876500857633 propos+0.24757004002287022 both+0.29731275014293884 more+0.33562035448827904 larg+0.33676386506575184 provid+0.33847913093196114 effect+0.34591194968553457 paper+0.3516295025728988 observ+0.3556317895940537 it+0.36477987421383645 first+0.3653516295025729 one+0.3950829045168668 than+0.4036592338479131 system+0.4099485420240137 find+0.4128073184676958 has+0.41966838193253286 two+0.44882790165809033 between+0.46255002858776445 present+0.5008576329331046 show+0.5105774728416238 time+0.5809033733562036 our+0.6352201257861635 can+0.7215551743853631 result+0.7272727272727273
